name,creator,folder,url,tags,desc,refurl
The blooo,Björn Arlt,blooo_2_1_4,https://www.fullbucket.de/music/dl.php?file=blooo_2_1_4_winvst,Instrument|Synthesizer,Polyphonic Synthesizer,https://www.fullbucket.de/music/blooo.html
The Deputy Mark II,Björn Arlt,deputy_1_2_4,https://www.fullbucket.de/music/dl.php?file=deputy_1_2_4_winvst,Instrument|Synthesizer|Strings,String Synthesizer,https://www.fullbucket.de/music/deputy.html
FB Brigade Delay,Björn Arlt,fbdelay_1_1_0,https://www.fullbucket.de/music/dl.php?file=fbdelay_1_1_0_winvst,Effect|Delay,BBD Analog Delay Simulation,https://www.fullbucket.de/music/fbdelay.html
Frequency Shifter,Björn Arlt,freqshifter_1_1_0,https://www.fullbucket.de/music/dl.php?file=freqshifter_1_1_0_winvst,Effect|Frequency Shifter,Bode Frequency Shifter,https://www.fullbucket.de/music/freqshifter.html
Kern,Björn Arlt,kern_1_1_3,https://www.fullbucket.de/music/dl.php?file=kern_1_1_3_winvst,Instrument|Synthesizer,Performance Synthesizer,https://www.fullbucket.de/music/kern.html
Mono/Fury,Björn Arlt,monofury_2_1_2,https://www.fullbucket.de/music/dl.php?file=monofury_2_1_2_winvst,Instrument|Synthesizer,KORG Mono/Poly Simulation,https://www.fullbucket.de/music/monofury.html
MPS,Björn Arlt,mps_1_0_0,https://www.fullbucket.de/music/dl.php?file=mps_1_0_0_winvst,Instrument|Synthesizer,Musical Parameter Synthesizer,https://www.fullbucket.de/music/mps.html
Nabla,Björn Arlt,nabla_1_2_1,https://www.fullbucket.de/music/dl.php?file=nabla_1_2_1_winvst,Instrument|Synthesizer,KORG Delta DL-50 Simulation,https://www.fullbucket.de/music/nabla.html
The qyooo,Björn Arlt,qyooo_1_1_2,https://www.fullbucket.de/music/dl.php?file=qyooo_1_1_2_winvst,Instrument|Synthesizer,Complex Modulation Synthesizer,https://www.fullbucket.de/music/qyooo.html
Ragnarök,Björn Arlt,ragnarok_1_2_2,https://www.fullbucket.de/music/dl.php?file=ragnarok_1_2_2_winvst,Instrument|Synthesizer,Performance Synthesizer,https://www.fullbucket.de/music/ragnarok.html
The scrooo,Björn Arlt,scrooo_1_2_3,https://www.fullbucket.de/music/dl.php?file=scrooo_1_2_3_winvst,Instrument|Synthesizer,Spectral Formant Synthesizer,https://www.fullbucket.de/music/scrooo.html
Stigma,Björn Arlt,stigma_1_1_1,https://www.fullbucket.de/music/dl.php?file=stigma_1_1_1_winvst,Instrument|Synthesizer,Korg Sigma KP-30 Simulation,https://www.fullbucket.de/music/stigma.html
FB-3100,Björn Arlt,fb3100_1_1_6,https://www.fullbucket.de/music/dl.php?file=fb3100_1_1_6_winvst,Instrument|Synthesizer,Korg PS-3100 Simulation,https://www.fullbucket.de/music/fb3100.html
FB-3200,Björn Arlt,fb3200_1_0_3,https://www.fullbucket.de/music/dl.php?file=fb3200_1_0_3_winvst,Instrument|Synthesizer,Korg PS-3200 Simulation,https://www.fullbucket.de/music/fb3200.html
FB-3300,Björn Arlt,fb3300_1_0_5,https://www.fullbucket.de/music/dl.php?file=fb3300_1_0_5_winvst,Instrument|Synthesizer,Korg PS-3300 Simulation,https://www.fullbucket.de/music/fb3300.html
ModulAir,Björn Arlt,modulair_1_0_0,https://www.fullbucket.de/music/dl.php?file=modulair_1_0_0_winvst,Instrument|Synthesizer,Polyphonic Modular Synthesizer,https://www.fullbucket.de/music/modulair.html
